name,           ip,               posx, posy
monitortwopi,   192.168.2.25,     0,    0,
raspberrypi01,  192.168.2.59,     0,    0,          
raspberrypi02,  192.168.2.116,    0,    1,  
raspberrypi03,  192.168.2.92,     0,    2,    
raspberrypi04,  192.168.2.52,     0,    3,
raspberrypi05,  192.168.2.122,    1,    0,
raspberrypi06,  192.168.2.126,    1,    1,
raspberrypi07,  192.168.2.112,    1,    2,
raspberrypi08,  192.168.2.51,     1,    3,
raspberrypi09,  192.168.2.107,    2,    0,
raspberrypi10,  192.168.2.146,    2,    1,
raspberrypi11,  192.168.2.83,     2,    2,
raspberrypi12,  192.168.2.128,    2,    3,
raspberrypi13,  192.168.2.71,     3,    0,
raspberrypi14,  192.168.2.65,     3,    1,
raspberrypi15,  192.168.2.134,    3,    2,
raspberrypi16,  192.168.2.147,    3,    3,
